course_id,group_id,speciality_id,name,description
COURSE_1,GRP_6,SP_10,Quality manager,"Girl still smile record answer leave. Through trial scene training against box.
Foot stage actually nothing national buy. Congress wife understand. Beat despite receive Democrat black day physical."
COURSE_2,GRP_1,SP_5,IT sales professional,"From political contain pattern anything bag.
Level whatever form tonight. Probably executive interesting remember.
Election ground it garden husband arrive. Seem anything set time."
COURSE_3,GRP_3,SP_3,"Editor, commissioning","Join less natural myself return detail rock.
Base hit factor around. Attack available huge half.
Character join back. Poor person particular."
COURSE_4,GRP_9,SP_5,Animator,"Most music others move seat.
Year garden already perhaps. Future identify democratic wall likely relationship think actually."
COURSE_5,GRP_9,SP_10,"Production assistant, radio","Move trip term. Kind star have their activity company. Right do society report treatment rock.
Actually need turn watch lead including education. Boy close give large."
COURSE_6,GRP_1,SP_5,Medical sales representative,"Prevent loss yes throw fear. Join once often Republican item.
Quite early special stop happen news anyone. Subject every watch plant because. Wide rest exactly likely size growth."
COURSE_7,GRP_1,SP_2,TEFL teacher,"Ago remain audience land may night high tax. Term field morning strong themselves. Time worker system blue himself. Fall level hour perform single.
Floor strong pretty early."
COURSE_8,GRP_5,SP_7,"Scientist, research (maths)",Feeling bed tell girl collection. Put resource often by discover she find president. Type whatever foot organization wait.
COURSE_9,GRP_8,SP_5,Police officer,"These process need bed contain me. Behavior mind standard picture could guy.
Wide one fund. While off edge receive.
Time church finish right by can several."
COURSE_10,GRP_2,SP_5,Archivist,"Sign certain hundred fight occur.
Film want account ahead. Recognize final letter care these hundred."
