student_id,group_id,enrollment_date,grade
3,GRP_2,2024-01-29,B
16,GRP_8,2024-09-01,B
18,GRP_5,2024-03-15,F
12,GRP_3,2024-09-10,A
11,GRP_1,2024-10-24,D
17,GRP_8,2024-08-19,F
3,GRP_2,2024-05-18,C
11,GRP_4,2024-11-05,C
11,GRP_6,2024-05-01,A
13,GRP_5,2024-07-13,D
14,GRP_5,2024-11-10,D
6,GRP_8,2024-09-14,D
15,GRP_5,2024-10-04,F
10,GRP_10,2024-06-28,F
20,GRP_5,2024-06-27,B
2,GRP_4,2024-04-29,F
16,GRP_5,2024-03-15,D
2,GRP_7,2024-01-28,D
4,GRP_8,2024-04-09,A
15,GRP_2,2024-02-09,F
12,GRP_10,2024-09-17,A
9,GRP_10,2024-11-10,C
7,GRP_8,2024-11-12,F
19,GRP_1,2024-10-12,A
13,GRP_4,2024-07-13,D
14,GRP_4,2024-09-24,F
15,GRP_8,2024-09-20,B
1,GRP_8,2024-10-20,D
9,GRP_3,2024-02-29,C
5,GRP_5,2024-05-24,A
